01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,1301,1,8497892,0,0,330488,2507123,25
2,apalache,NoError,1225,1,8787920,0,0,313983,2424451,25
3,apalache,NoError,1146,1,8284308,0,0,299480,2379006,25
4,apalache,NoError,2391,1,12547740,0,0,461690,3765633,26
5,apalache,NoError,2450,1,12471680,0,0,445753,3695822,27
6,apalache,NoError,9971,1,15420532,0,0,780909,6900742,28
7,apalache,NoError,9698,1,15702048,0,0,754742,6931775,29
8,apalache,NoError,9300,1,15049568,0,0,728499,6679564,29
9,apalache,NoError,42307,1,21681092,0,0,1451761,13556928,31
10,apalache,NoError,41464,1,21471424,0,0,1391910,13310244,32
11,apalache,NoError,398,0,5541800,0,0,219433,1722072,20
12,apalache,NoError,1071,0,18618796,0,0,2868158,7817870,11
13,apalache,NoError,1528,0,23933300,0,0,6407571,15963579,10
14,apalache,NoError,694,0,8226532,0,0,326597,2646451,22
15,apalache,NoError,1864,0,22907328,0,0,4451850,12126989,11
16,apalache,NoError,2377,0,14444576,0,0,592163,5025992,24
17,apalache,Fail,3738,0,28982004,0,0,280934,2463612,24
18,apalache,Fail,3721,0,28828436,0,0,268824,2418130,24
19,apalache,NoError,9216,0,20139480,0,0,1179739,10135524,27
20,apalache,Fail,9712,0,31466408,0,0,564069,4984843,28
21,apalache,NoError,12,0,602944,0,0,5649,33693,23
22,apalache,NoError,18,0,836080,0,0,9739,67569,23
23,apalache,NoError,25,0,959564,0,0,12833,103994,22
24,apalache,NoError,13,0,795316,0,0,5812,36807,25
25,apalache,NoError,19,0,826572,0,0,9902,73287,25
26,apalache,NoError,23,0,999580,0,0,10267,84711,29
27,apalache,NoError,34,0,1133032,0,0,14341,129922,28
28,apalache,NoError,42,0,1319784,0,0,18453,179014,27
29,apalache,NoError,43,0,1334480,0,0,14868,154666,32
30,apalache,NoError,59,0,1575408,0,0,18942,211480,31
